N	Trapezoidal	Simpson
3950010	1.905238690482584651419983856613	1.905238690482863317399164770904
3960010	1.905238690482445651497300787014	1.905238690482710550710976349365
3970010	1.905238690482657704095004191913	1.905238690482583541196959231456
3980010	1.905238690482769392531281482661	1.905238690482615071530858585902
3990010	1.905238690482500274470112344716	1.905238690482783381341391759634
4000010	1.905238690482687902161273996171	1.905238690482737196063567353121
4010010	1.905238690482630836697808263125	1.905238690482678132198657294794
4020010	1.905238690482699004391520247736	1.905238690482523589153629473003
4030010	1.905238690482656815916584491788	1.905238690482679020377076994919
4040010	1.905238690482588648222872507176	1.905238690482789376545724735479
4050010	1.905238690482620622645981711685	1.905238690482668584280645518447
4060010	1.905238690482632613054647663375	1.905238690482583985286169081519
4070010	1.905238690482617069932302911184	1.905238690482659480451843592164
4080010	1.905238690482594643427205483022	1.905238690482568442163824329327
4090010	1.905238690482615293575463510933	1.905238690482566887851589854108
4100010	1.905238690482634167366882138595	1.905238690482608854281920685025
4110010	1.905238690482544239301887500915	1.905238690482650820712251515943
4120010	1.905238690482490726552100568369	1.905238690482597530007069508429
4130010	1.905238690482743191267900328967	1.905238690482793595393218311074
4140010	1.905238690482354169120071674115	1.905238690482605523612846809556
4150010	1.905238690482515595547852171876	1.905238690482751628962887480156
4160010	1.905238690482446095586510637077	1.905238690482505603540630545467
4170010	1.905238690482593755248785782896	1.905238690482609964504945310182
4180010	1.905238690482677021975632669637	1.905238690482501606737741894904
4190010	1.905238690482701446882174423081	1.905238690482685903759829670889
4200010	1.905238690482764729594578057004	1.905238690482832897288290041615
4210010	1.905238690482677244020237594668	1.905238690482820906879624089925
4220010	1.905238690482900176803582326102	1.905238690482743413312505253998
4230010	1.905238690482461638708855389268	1.905238690482554009264504202292
4240010	1.905238690482715435692284700053	1.905238690482621732869006336841
4250010	1.905238690482640162571215114440	1.905238690482769836620491332724
4260010	1.905238690482737196063567353121	1.905238690482644825507918540097
4270010	1.905238690482553565175294352230	1.905238690482643049151079139847
4280010	1.905238690482576213724996705423	1.905238690482873975540201172407
4290010	1.905238690482557561978183002793	1.905238690482748964427628379781
4300010	1.905238690482505381496025620436	1.905238690482630170563993488031
4310010	1.905238690482881525056768623472	1.905238690482703667328223673394
4320010	1.905238690482646601864757940348	1.905238690482671470860509543854
4330010	1.905238690482550234506220476760	1.905238690482499164247087719559
4340010	1.905238690482445429452695861983	1.905238690482796926062292186543
4350010	1.905238690482327745812085595389	1.905238690482768948442071632599
4360010	1.905238690482466745734768664988	1.905238690482676133797212969512
4370010	1.905238690482527585956518123567	1.905238690482609964504945310182
4380010	1.905238690482465635511744039832	1.905238690482705221640458148613
4390010	1.905238690482564667405540603795	1.905238690482784491564416384790
4400010	1.905238690482572883055922829953	1.905238690482791374947169060761
4410010	1.905238690482545127480307201040	1.905238690482770502754306107818
4420010	1.905238690482669694503670143604	1.905238690482693453276397121954
4430010	1.905238690482719654539778275648	1.905238690482714547513864999928
4440010	1.905238690482596197739439958241	1.905238690482778718404688333976
